condition,condition_id,conversation_id,from,to,from_turn,to_turn,from_slot,to_slot,pair_type,adjacent_distance,x,y,xend,yend
AI-AI,ai-ai,conv_145de5a68d014da88f143860a2aed6fd,86,87,7.0,8.0,author_1,author_2,between_exchange,0.3407699905852074,0.1078360917460689,0.07403436965933805,-0.025097784797856716,0.08384104383507121
AI-AI,ai-ai,conv_462717bcc40d4415847da0610f472914,231,232,8.0,8.0,author_2,author_1,within_exchange,0.26620568026965974,0.2572440087377807,-0.021156404219924305,0.09572458963990935,0.23047825873564864
AI-AI,ai-ai,conv_11c2622ee391485c9913d2f1479b665b,59,60,3.0,3.0,author_1,author_2,within_exchange,0.3145275227946972,0.28804728613013053,0.004261165103833566,0.20422703909058798,-0.07806303569732014
AI-AI,ai-ai,conv_ec61d7cb57094812b5ed7b7b55c18b32,636,637,3.0,4.0,author_2,author_1,between_exchange,0.17500624755265637,0.07911418485445154,0.1387487683891029,0.051809107878474474,0.11542140305391514
AI-AI,ai-ai,conv_5f83922b1e334cfcb374e90c11c81c1e,280,281,5.0,6.0,author_2,author_1,between_exchange,0.2771542633410611,0.19491386247753514,0.14357204905134668,0.3599917232662445,0.07363540167213611
AI-AI,ai-ai,conv_30e43acd01e24513a5f6f65aa3fc5f50,165,166,2.0,2.0,author_2,author_1,within_exchange,0.35769359907244935,0.2731365178077272,-0.2735439635844509,0.2808812416073585,-0.21268553612191965
AI-AI,ai-ai,conv_c5addb32570d400db0feca8365ceaa9a,512,513,4.0,5.0,author_2,author_1,between_exchange,0.28704921259517857,-0.21876297686897,0.025242374889314474,-0.1815939385962396,0.024483066592377915
AI-AI,ai-ai,conv_7a911b33d930428b9119a670406e96b1,340,341,8.0,9.0,author_2,author_1,between_exchange,0.2575692897896166,0.010188882797464037,0.22111360906842523,0.09035663184643167,0.15431459718401108
AI-AI,ai-ai,conv_ebe60862bf804722a847681940c8bbcd,617,618,3.0,3.0,author_2,author_1,within_exchange,0.3468450734292896,0.15922784460244263,0.10740887678806357,0.2021774687482581,0.05335404403765536
AI-AI,ai-ai,conv_6f7b4058431b47a49069aa04afdcc338,309,310,2.0,2.0,author_2,author_1,within_exchange,0.20157466476131325,0.15914166698949736,0.04308615522322587,0.27582258146953514,0.0536068441656167
AI-AI,ai-ai,conv_59e7ea5807ff4367bf49dd3541d68e49,253,254,1.0,1.0,author_1,author_2,within_exchange,0.2671357088031545,0.2353873427850232,0.039668522078906365,0.2842110499202606,0.053961177936535515
AI-AI,ai-ai,conv_59e7ea5807ff4367bf49dd3541d68e49,265,266,7.0,7.0,author_1,author_2,within_exchange,0.24246932128618393,0.19696275626109647,-0.06013885082350908,0.22784527894540646,-0.04789536354571064
AI-AI,ai-ai,conv_423a3b9f2e0640e789caf6a9f5e374b9,208,209,5.0,6.0,author_1,author_2,between_exchange,0.23016806870312534,0.18919114940838636,0.05073300199064542,0.06071718808235395,-0.10202094076772353
AI-AI,ai-ai,conv_a731e4cc684f448587f5085e647f5953,418,419,2.0,3.0,author_2,author_1,between_exchange,0.26333662026452576,-0.14847937890838947,0.13600695832335952,0.003584152999586398,0.1810684397559447
AI-AI,ai-ai,conv_6f7b4058431b47a49069aa04afdcc338,308,309,1.0,2.0,author_1,author_2,between_exchange,0.31437283482902956,-0.10350471252904345,-0.07524107664868754,0.15914166698949736,0.04308615522322587
AI-AI,ai-ai,conv_7a911b33d930428b9119a670406e96b1,339,340,8.0,8.0,author_1,author_2,within_exchange,0.2323565220439997,0.13017483590238058,0.1502028363475519,0.010188882797464037,0.22111360906842523
AI-AI,ai-ai,conv_deb05265bec84343b09557454f80ce9a,580,581,2.0,3.0,author_2,author_1,between_exchange,0.3183476312479663,0.09355579098828737,0.09536598912029208,-0.0987745452228758,0.07454856821166021
AI-AI,ai-ai,conv_c844530b86a74806aff04a1d35ed710d,556,557,8.0,9.0,author_1,author_2,between_exchange,0.2481023416947249,0.2983365466017537,-0.1526155386643325,0.2631886865014589,-0.13022270701422778
AI-AI,ai-ai,conv_01d1444f684c48af9cc5978f92742c23,11,12,6.0,6.0,author_1,author_2,within_exchange,0.3214394674793172,0.20528629100964818,0.11413225987750254,0.10928700268310648,0.12215086190700952
AI-AI,ai-ai,conv_01d1444f684c48af9cc5978f92742c23,3,4,2.0,2.0,author_1,author_2,within_exchange,0.2457422205111951,0.0014683316108421683,0.11768811513511146,-0.03662967207051468,0.022465415418585186
AI-AI,ai-ai,conv_423a3b9f2e0640e789caf6a9f5e374b9,204,205,3.0,4.0,author_1,author_2,between_exchange,0.3465032759507378,0.25205845333468163,-0.03989758964568938,0.28236965636985834,0.07043460606426324
AI-AI,ai-ai,conv_4f8a0b7e568d40eba7e40164ecf1db73,241,242,4.0,4.0,author_2,author_1,within_exchange,0.3131242836366518,0.027976952999166783,0.17519451699434327,0.07663665810946084,0.23730029520445003
AI-AI,ai-ai,conv_bd42668068fc4f41a9b41e52a30aa976,455,456,3.0,3.0,author_1,author_2,within_exchange,0.4377096951056023,-0.07272933066263643,0.05944617748459556,0.007807456875303404,0.2424983309746296
AI-AI,ai-ai,conv_3cd6a9b2f37747109eaa80d6ec7ce875,187,188,4.0,4.0,author_2,author_1,within_exchange,0.3715740712217366,0.21767910897914505,-0.07934355289828833,0.21104588785010525,0.0725440210971785
