turn_node_id,condition,condition_id,conversation_id,sequence_index,turn_index,slot,x,y
44,AI-AI,ai-ai,conv_1135e4a162c64105aaf2934e6fecd74b,8,4.0,author_1,0.02059090822381257,0.18144601605486588
45,AI-AI,ai-ai,conv_1135e4a162c64105aaf2934e6fecd74b,9,5.0,author_2,0.003563432422687885,0.2667457412951568
46,AI-AI,ai-ai,conv_1135e4a162c64105aaf2934e6fecd74b,10,5.0,author_1,0.1338581025137806,-0.009753133077010041
47,AI-AI,ai-ai,conv_1135e4a162c64105aaf2934e6fecd74b,11,6.0,author_2,0.13395310085721931,0.06298733350014468
48,AI-AI,ai-ai,conv_1135e4a162c64105aaf2934e6fecd74b,12,6.0,author_1,0.029483033553040237,0.13965852428892372
49,AI-AI,ai-ai,conv_1135e4a162c64105aaf2934e6fecd74b,13,7.0,author_2,0.09153774025859193,0.054859872802359086
50,AI-AI,ai-ai,conv_1135e4a162c64105aaf2934e6fecd74b,14,7.0,author_1,0.07936463919154282,0.2142076675547818
51,AI-AI,ai-ai,conv_1135e4a162c64105aaf2934e6fecd74b,15,8.0,author_2,0.024932086896313974,0.12170964389881345
52,AI-AI,ai-ai,conv_1135e4a162c64105aaf2934e6fecd74b,16,8.0,author_1,0.07975953722445837,0.11857752211039886
53,AI-AI,ai-ai,conv_1135e4a162c64105aaf2934e6fecd74b,17,9.0,author_2,0.04432962851785616,0.051788357625238174
54,AI-AI,ai-ai,conv_1135e4a162c64105aaf2934e6fecd74b,18,9.0,author_1,0.057806742555791164,0.18281190357475777
55,AI-AI,ai-ai,conv_11c2622ee391485c9913d2f1479b665b,1,1.0,author_1,0.11989183232094974,0.03737851387198817
56,AI-AI,ai-ai,conv_11c2622ee391485c9913d2f1479b665b,2,1.0,author_2,0.16229070843833934,0.13340303708688064
57,AI-AI,ai-ai,conv_11c2622ee391485c9913d2f1479b665b,3,2.0,author_1,0.14787006793065827,-0.08371974729911885
58,AI-AI,ai-ai,conv_11c2622ee391485c9913d2f1479b665b,4,2.0,author_2,0.13811741820093698,0.02201868131048177
59,AI-AI,ai-ai,conv_11c2622ee391485c9913d2f1479b665b,5,3.0,author_1,0.28804728613013053,0.004261165103833566
60,AI-AI,ai-ai,conv_11c2622ee391485c9913d2f1479b665b,6,3.0,author_2,0.20422703909058798,-0.07806303569732014
61,AI-AI,ai-ai,conv_11c2622ee391485c9913d2f1479b665b,7,4.0,author_1,0.13211255482134257,0.06455909581480868
62,AI-AI,ai-ai,conv_11c2622ee391485c9913d2f1479b665b,8,4.0,author_2,0.11103210155538863,-0.014514087949435112
63,AI-AI,ai-ai,conv_11c2622ee391485c9913d2f1479b665b,9,5.0,author_1,0.13604270244792444,-0.02472019712799943
64,AI-AI,ai-ai,conv_11c2622ee391485c9913d2f1479b665b,10,5.0,author_2,0.07045079160251126,-0.06895508302354815
65,AI-AI,ai-ai,conv_11c2622ee391485c9913d2f1479b665b,11,6.0,author_1,0.3426141749916618,-0.052170327115904636
66,AI-AI,ai-ai,conv_11c2622ee391485c9913d2f1479b665b,12,6.0,author_2,0.22742379858987005,0.05184433963872732
67,AI-AI,ai-ai,conv_11c2622ee391485c9913d2f1479b665b,13,7.0,author_1,0.2476867190031322,-0.05495942919749958
