"metric","rating","r","ci_lo","ci_hi","p","n","p_holm"
"LLM cross-author sim","coherence",0.0430948542770212,-0.157334952279173,0.253273337270138,0.685033401692528,91,1
"LLM cross-author sim","creativity",-0.0583917142216923,-0.267893425662368,0.157305810484889,0.582462934241976,91,1
"LLM own novelty","coherence",0.172804036419608,-0.043032665334169,0.369234345141112,0.101420588498355,91,0.507102942491777
"LLM own novelty","creativity",-0.151571516869572,-0.348653249018518,0.0630109802247107,0.151511495305472,91,0.60604598122189
"Human resonance","creativity",-0.0755572586606108,-0.261304176242466,0.12042700137357,0.476573193176281,91,1
"Human resonance","coherence",-0.20097312131234,-0.403683220467499,0.0166425313011395,0.0561078047370125,91,0.336646828422075
