s_84;s_85;s_86;s_87;s_88;s_91;s_94;s_95;s_96;s_97;s_92;s_93;s_98;b_2;lang;b_3;s_43;s_44_1;s_44_2;s_44_3;s_44_4;s_44_5;s_44_6;s_44_7;s_44_8;s_44_9;s_44_10;s_44_11;s_44_12;s_44_13;email;statoverall_1;statoverall_2;statoverall_3;statoverall_4;statoverall_5
;;;;;;6;8;8;;6;8;;1;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;3;4;5;I suppose real co-creation is also about letting go of your pre-mediated idea of where the narrative should go. So maybe this challenging aspect is also a positive thing, creatively and collaboratively speaking.;5;6;;1;;44;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;7;7;5;;4;8;;3;;36;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;8;8;8;;6;8;;1;;25;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;7;7;8;it depends on the other person, i possibly got lucky to have a partner that wanted to indulge this sort of direction;6;8;since i started the story i feel more responsible for it;3;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;6;7;8;It was fun to challenge and improvise the direction I had planned;6;6;I think I set the tone of the story, but they established the direction of the plot and action;2;;33;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;5;7;8;"Ideen og execution var virkelig fantastisk og synes premisen er super sjov. Bare lige den tekst besked med at ""you have ran out of time"" skal måske lige kunne lukkes ned, så den ikke dækker for teksten. Meget underholdende! Held og lykke.";7;7;;2;;32;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;4;5;7;;7;6;;3;;27;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;7;7;8;;6;7;;2;;29;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;6;5;7;;4;7;;1;;21;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;7;6;5;;6;7;;1;;31;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;3;4;7;;1;3;;1;;30;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;4;8;7;;5;8;;2;;24;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;8;8;8;We got the hang of the story together so it was really exciting and surprising;8;8;;1;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;7;6;8;Fun to work with someone else, but could be challenging when they took a different direction. Sometimes details changed unexpectedly.;6;7;;2;;34;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;8;6;5;;6;8;;2;;33;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;6;5;7;Fornøjelse! Det var lidt svært på engelsk og at koncentrere sig i tidspresset, jeg plejer at fordybe mig i ro, men det var en sjov udfordring.;4;7;Jeg synes, at vi begge gav hinanden plads til at fortsætte i forskellige retninger. Måske han gav lidt mere plads end jeg.;1;;19;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;8;6;8;;5;8;;1;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;4;7;8;;7;7;;2;;29;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;7;7;8;;6;8;;2;;24;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;7;7;8;Yay fun!;3;8;;3;;30;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;8;6;8;;5;8;;2;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;6;4;8;;5;8;;2;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;3;5;8;;6;7;;2;;38;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;1;0
;;;;;;;;;;;;;1;;31;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;33;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;45;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;28;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;30;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;39;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;48;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;20;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;21;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;25;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;47;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;28;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;26;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;32;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;27;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;26;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;42;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;25;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;31;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;23;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;22;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;31;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;25;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;32;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;25;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;20;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;40;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;24;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;36;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;22;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;24;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;23;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;3;;40;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;27;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;29;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;20;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;37;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;40;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;39;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;47;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;37;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;27;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;34;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;27;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
