s_84;s_85;s_86;s_87;s_88;s_91;s_94;s_95;s_96;s_97;s_92;s_93;s_98;b_2;lang;b_3;s_43;s_44_1;s_44_2;s_44_3;s_44_4;s_44_5;s_44_6;s_44_7;s_44_8;s_44_9;s_44_10;s_44_11;s_44_12;s_44_13;email;statoverall_1;statoverall_2;statoverall_3;statoverall_4;statoverall_5
;;;;;;;;;;;;;2;;34;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;23;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;33;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;30;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;39;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;28;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;41;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;34;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;19;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;34;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;3;;22;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;39;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;24;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;35;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;24;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;19;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;22;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;24;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;25;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;3;;25;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;46;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;23;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;30;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;43;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;28;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;39;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;41;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;20;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;24;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;28;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;45;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;51;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;18;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;32;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;41;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;25;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;25;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;24;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;33;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;41;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;34;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;30;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;2;;24;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
;;;;;;;;;;;;;1;;32;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0
