conversation_id,n_rows,n_text_qc_flagged,starter,respondent_id,source_conversation_id,condition,exclude_first_human_qc_flagged,exclude_for_text_qc
conv_5b956e03-a900-47aa-88a9-54cb6be40071,9,0,author_1,ZCS6G9J1WJSX,conv_5b956e03-a900-47aa-88a9-54cb6be40071,human-ai,False,False
conv_5e234f25-eb78-4ec3-8113-c66645149ddc,9,0,author_1,LS254PP1TGCS,conv_5e234f25-eb78-4ec3-8113-c66645149ddc,human-ai,False,False
conv_5f17f002-84ad-4315-8c69-20ec83de1223,9,0,author_1,XMPVNW4HGJL9,conv_5f17f002-84ad-4315-8c69-20ec83de1223,human-ai,False,False
conv_61dd4f08-b460-4c98-8368-fb09762cbe5e,9,0,author_2,APZLLLSGSH9W,conv_61dd4f08-b460-4c98-8368-fb09762cbe5e,human-ai,False,False
conv_62a271e6-a272-4e74-9d10-2dc0c15c530f,9,0,author_1,2M5L4UURHQCF,conv_62a271e6-a272-4e74-9d10-2dc0c15c530f,human-ai,False,False
conv_634a773b-4e50-4e24-87f3-a5fbebcc6d74,9,0,author_2,WJQ1RGFQUV9F,conv_634a773b-4e50-4e24-87f3-a5fbebcc6d74,human-ai,False,False
conv_6419c979-eb60-46a6-8770-2c3a25c7e2b3,9,0,author_2,3KZTSTNK9Y9X,conv_6419c979-eb60-46a6-8770-2c3a25c7e2b3,human-ai,False,False
conv_68f643620b5081968ccd202f0b32a9250787a797b4322e0b,9,0,author_2,3A3QJRUWNX1A,conv_68f643620b5081968ccd202f0b32a9250787a797b4322e0b,human-ai,False,False
conv_68f73dbdcc8081958c0890edef7c670804df05d299f21c4d,9,0,author_2,T3CVRA6LWS1T,conv_68f73dbdcc8081958c0890edef7c670804df05d299f21c4d,human-ai,False,False
conv_68f8cb66e7d0819089538cdf28e940fb0be0c7c5bc28f178,9,0,author_1,N2DS5WVF4X9T,conv_68f8cb66e7d0819089538cdf28e940fb0be0c7c5bc28f178,human-ai,False,False
conv_6910e16399d48194987708b3589ca9eb0edd24df36992831,9,0,author_2,2FDGDGRDMM1A,conv_6910e16399d48194987708b3589ca9eb0edd24df36992831,human-ai,False,False
conv_69120b0be9a881908567c1dfa912a6d90a309a13d5ea8eef,9,0,author_1,8QTD72ZT643W,conv_69120b0be9a881908567c1dfa912a6d90a309a13d5ea8eef,human-ai,False,False
conv_691249fd97308197b06e97ca5d649f45080645ae33d1bf00,9,0,author_2,DAGZDMSL673F,conv_691249fd97308197b06e97ca5d649f45080645ae33d1bf00,human-ai,False,False
conv_6912d3d2074c8197adc6c9e56408225c0a4f5cb536497774,9,0,author_2,T2JRGGFRHL3X,conv_6912d3d2074c8197adc6c9e56408225c0a4f5cb536497774,human-ai,False,False
conv_69160b265818819398e86c4bd8abc0080d0aba9e942fed0d,9,0,author_2,ZWGUHWNK3ZCS,conv_69160b265818819398e86c4bd8abc0080d0aba9e942fed0d,human-ai,False,False
conv_6917421066d8819592863132f4a141a00078d2d8d630f704,9,0,author_1,ZEEVSMGMCU9T,conv_6917421066d8819592863132f4a141a00078d2d8d630f704,human-ai,False,False
conv_691b61ab394c819483ac4af28c7f29d00b3e16b70554a02a,9,0,author_1,13ZEUDQZLV3E,conv_691b61ab394c819483ac4af28c7f29d00b3e16b70554a02a,human-ai,False,False
conv_691b6cdacf7881969d8f99f8456a61890249fb5f6bbd90ca,9,0,author_2,EMFJ7T4UUC3X,conv_691b6cdacf7881969d8f99f8456a61890249fb5f6bbd90ca,human-ai,False,False
conv_691b7e95a50c8195930023ad653f234c0f03c18c9e706226,9,0,author_1,Q4UEVPVYJZ1E,conv_691b7e95a50c8195930023ad653f234c0f03c18c9e706226,human-ai,False,False
conv_691b8b725ae48193abaaaa9270b26d500f7b1fcbf105c42b,9,0,author_1,WXST1DKDSH3W,conv_691b8b725ae48193abaaaa9270b26d500f7b1fcbf105c42b,human-ai,False,False
conv_691baa2b46788193b872ed7306db511f03e0f1b6d7bfd4c7,9,0,author_2,6VU7F1PCJY1T,conv_691baa2b46788193b872ed7306db511f03e0f1b6d7bfd4c7,human-ai,False,False
conv_691c84edfb24819590a3e29782cdd10d03ba8eb739f774a6,9,0,author_1,KQ4ZJ5WX5CCA,conv_691c84edfb24819590a3e29782cdd10d03ba8eb739f774a6,human-ai,False,False
conv_691dc7c061d8819797504b613ba6691208409e48769ea891,9,0,author_1,CUV6ECP3GUC9,conv_691dc7c061d8819797504b613ba6691208409e48769ea891,human-ai,False,False
conv_691dc83ec728819085d614247e77833604d03bd64a490dfd,9,0,author_1,YUN4EDXQGZ3F,conv_691dc83ec728819085d614247e77833604d03bd64a490dfd,human-ai,False,False
conv_691e9e26b7688197a86e51a9d9a7dfe1052dd4511749a606,9,0,author_1,3RUNC9DV5H1A,conv_691e9e26b7688197a86e51a9d9a7dfe1052dd4511749a606,human-ai,False,False
conv_691f065bc31481969cdbdc53f0ca1d3b03f44f568e358927,9,0,author_1,3KUK6611QU9W,conv_691f065bc31481969cdbdc53f0ca1d3b03f44f568e358927,human-ai,False,False
conv_691f06855a5c819598fe92033194bb530743467f5002fa62,9,0,author_1,DRW7H2C5WG1A,conv_691f06855a5c819598fe92033194bb530743467f5002fa62,human-ai,False,False
conv_691f696d0b348190810494e2c5d82fee08324043d78ba0f7,9,0,author_1,SFP9A3ENQD3X,conv_691f696d0b348190810494e2c5d82fee08324043d78ba0f7,human-ai,False,False
conv_6981ccf5d5f4819394bcd7bad4d79b14001ace58e9b20b81,9,0,author_1,ZX97JLMV3QJS,conv_6981ccf5d5f4819394bcd7bad4d79b14001ace58e9b20b81,human-ai,False,False
conv_69a0753fc5d08196aa37099ec6c65b69083687b3e71b94b5,9,0,author_1,KCAMCYJ74DUS,conv_69a0753fc5d08196aa37099ec6c65b69083687b3e71b94b5,human-ai,False,False
conv_69b581c4f16c81978ea543ce298c8c600546e04309837be3,9,0,author_1,5QVDA55C7KES,conv_69b581c4f16c81978ea543ce298c8c600546e04309837be3,human-ai,False,False
conv_6be7ed36-4c3e-4746-920a-dac8f9012262,9,0,author_1,T3TFNQRJWG9S,conv_6be7ed36-4c3e-4746-920a-dac8f9012262,human-ai,False,False
conv_6c680e8e-2455-4bdf-b4cd-fe6c409f373a,9,0,author_1,69TUVRJMJPL9,conv_6c680e8e-2455-4bdf-b4cd-fe6c409f373a,human-ai,False,False
conv_71931437-6bdb-40a6-8ff1-c60e77698ace,2,0,author_1,J9YNUCJ3DGUT,conv_71931437-6bdb-40a6-8ff1-c60e77698ace,human-ai,False,False
conv_72037685-9437-4960-b9a0-5f77d2a71e41,9,0,author_1,U5Y8C5U23H9A,conv_72037685-9437-4960-b9a0-5f77d2a71e41,human-ai,False,False
conv_72218cb5-e59c-4c93-a4b9-a057fe5dad80,9,0,author_1,XYWLZTVRJDC9,conv_72218cb5-e59c-4c93-a4b9-a057fe5dad80,human-ai,False,False
conv_73564d95-9f66-42db-a2c0-fed78090bac2,9,0,author_1,LDS6RQ7KNV99,conv_73564d95-9f66-42db-a2c0-fed78090bac2,human-ai,False,False
conv_7511f98b-bb77-4bdc-926f-c26121dc147b,9,0,author_2,3YEGVLUF3CCE,conv_7511f98b-bb77-4bdc-926f-c26121dc147b,human-ai,False,False
conv_7c23347e-6172-4c84-9fd0-45ef34290bd5,9,0,author_1,3194ZRR6HQC9,conv_7c23347e-6172-4c84-9fd0-45ef34290bd5,human-ai,False,False
conv_7e08bac1-7465-447d-a732-40dad23fa383,9,0,author_1,8Q6J4H1VUH3T,conv_7e08bac1-7465-447d-a732-40dad23fa383,human-ai,False,False
conv_829c6d96-30f0-495e-9684-ca934b06e90a,9,0,author_2,UU5L5MWHK89X,conv_829c6d96-30f0-495e-9684-ca934b06e90a,human-ai,False,False
conv_82f7be76-f1f7-447b-b77d-2fa8134ebfed,9,0,author_2,GQFYSM9DSH3A,conv_82f7be76-f1f7-447b-b77d-2fa8134ebfed,human-ai,False,False
conv_837faa43-c6e5-4221-9368-e8076f56d5fb,9,0,author_2,3E8M2SW8F33T,conv_837faa43-c6e5-4221-9368-e8076f56d5fb,human-ai,False,False
conv_8ab6fccf-2cc1-40bb-8378-5b469fb220eb,9,0,author_2,5FW5WWF7SZCE,conv_8ab6fccf-2cc1-40bb-8378-5b469fb220eb,human-ai,False,False
conv_8fd2ac26-a13c-4e85-b8ac-5f13e246b640,9,0,author_1,MQXKHJ7H5CCW,conv_8fd2ac26-a13c-4e85-b8ac-5f13e246b640,human-ai,False,False
conv_90178cb2-77d1-4123-9509-2ec42e4db932,9,0,author_1,PMXGNH5WYA3A,conv_90178cb2-77d1-4123-9509-2ec42e4db932,human-ai,False,False
conv_90ea40da-2853-405a-9c2f-a22e77888401,9,0,author_1,VU1FK2KTHRCA,conv_90ea40da-2853-405a-9c2f-a22e77888401,human-ai,False,False
conv_9763bf93-b2b0-43b7-9ffa-761830f4d5a8,9,0,author_1,LJDJS3CG1LUE,conv_9763bf93-b2b0-43b7-9ffa-761830f4d5a8,human-ai,False,False
conv_9a9b4068-5437-4eac-9cbd-738309827685,9,0,author_2,CMAZGSSVFL1F,conv_9a9b4068-5437-4eac-9cbd-738309827685,human-ai,False,False
conv_a0840d98-89b5-4206-b414-e9820d9a99b2,9,0,author_2,L2C5KAHNC83T,conv_a0840d98-89b5-4206-b414-e9820d9a99b2,human-ai,False,False
conv_a2292393-fd39-476f-975c-aaf411653197,9,0,author_1,MGW91YS84ULF,conv_a2292393-fd39-476f-975c-aaf411653197,human-ai,False,False
conv_afc8092c-7335-40d1-a058-616cf97d80a2,9,0,author_2,1DL66YK77CCW,conv_afc8092c-7335-40d1-a058-616cf97d80a2,human-ai,False,False
conv_b0f0e7b9-40d0-4776-a1a7-828df5bdcf2a,9,0,author_2,V46HUKHDX73A,conv_b0f0e7b9-40d0-4776-a1a7-828df5bdcf2a,human-ai,False,False
conv_b1e0225e-fdb5-4142-8852-0785c0d30420,9,0,author_2,GXHVMXFGMRCS,conv_b1e0225e-fdb5-4142-8852-0785c0d30420,human-ai,False,False
conv_b306d0b7-35f0-495e-a3e0-5818c3ae060c,9,0,author_2,958LNZU1CG3W,conv_b306d0b7-35f0-495e-a3e0-5818c3ae060c,human-ai,False,False
conv_b6569263-0af4-4945-bd32-398a28cf7e69,9,0,author_1,1V7KGVS454LT,conv_b6569263-0af4-4945-bd32-398a28cf7e69,human-ai,False,False
conv_c2e0197b-bba1-43b9-978e-cc6e536892b3,9,0,author_2,H12NC9MWNS3S,conv_c2e0197b-bba1-43b9-978e-cc6e536892b3,human-ai,False,False
conv_c576a2b8-4944-4966-b836-5a4fde76260f,9,0,author_1,VLTRR22UGD1A,conv_c576a2b8-4944-4966-b836-5a4fde76260f,human-ai,False,False
conv_c7f16c31-e264-4ad6-8a72-7c626fa0cac0,9,0,author_1,DDT367M5QH19,conv_c7f16c31-e264-4ad6-8a72-7c626fa0cac0,human-ai,False,False
conv_ccb90f8d-d4bb-406e-83e9-b91ac0615cac,9,0,author_1,QX1PYSRGW9JE,conv_ccb90f8d-d4bb-406e-83e9-b91ac0615cac,human-ai,False,False
conv_d87daedd-9490-4de9-8d2a-d33777567187,9,0,author_2,KAKHFAKEEY99,conv_d87daedd-9490-4de9-8d2a-d33777567187,human-ai,False,False
conv_da1c7ee9-2479-4f47-94bc-db9161a6e88c,9,0,author_1,QJWLS13T5H1W,conv_da1c7ee9-2479-4f47-94bc-db9161a6e88c,human-ai,False,False
conv_e335739c-0072-4945-8fe4-457a04c0997b,9,0,author_1,461W5T16XQ9W,conv_e335739c-0072-4945-8fe4-457a04c0997b,human-ai,False,False
conv_e73d720a-ff86-4c9b-b988-d6cc879215d9,9,0,author_2,9UHVH9XRLD9F,conv_e73d720a-ff86-4c9b-b988-d6cc879215d9,human-ai,False,False
conv_f5028a6e-05a3-4757-84d0-491a6f400c24,9,0,author_2,HXFHNH63LZCS,conv_f5028a6e-05a3-4757-84d0-491a6f400c24,human-ai,False,False
conv_fe95c724-f91e-4a17-8400-9bfbdf9218ec,9,0,author_2,S8K59R2QA4CS,conv_fe95c724-f91e-4a17-8400-9bfbdf9218ec,human-ai,False,False
